step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
383,39127,383,0.05740118689183873,0.0,0.8571428571428571
384,39240,384,0.10009768352455857,0.0,0.2857142857142857
385,39353,385,0.07210059944732296,0.0,0.42857142857142855
386,39434,386,0.08813211624019096,0.0,0.7142857142857143
387,39523,387,0.0768553848740174,0.0,0.5714285714285714
388,39596,388,0.080798883337882,0.0,0.8571428571428571
389,39725,389,0.08623075621785005,0.0,0.42857142857142855
390,39870,390,0.05755965918123972,0.0,0.7142857142857143
391,40031,391,0.09184112059872224,0.0,0.5714285714285714
392,40160,392,0.06084930126528073,0.0,0.7142857142857143
393,40281,393,0.0662484128377085,0.0,0.42857142857142855
394,40402,394,0.06011341893383481,0.0,0.5714285714285714
395,40539,395,0.0816360533407308,0.0,0.5714285714285714
396,40652,396,0.10809875926638984,0.0,0.42857142857142855
397,40733,397,0.1251022059395036,0.0,0.42857142857142855
398,40846,398,0.1100619146723641,0.0,0.14285714285714285
399,40975,399,0.06351009663914738,0.0,0.42857142857142855
400,41088,400,0.07586048543439963,0.0,0.7142857142857143
401,41209,401,0.12140353384734287,0.0,0.5714285714285714
402,41290,402,0.15776089674740798,0.0,0.42857142857142855
403,41371,403,0.06837948366999626,0.0,0.7142857142857143
404,41436,404,0.10155476064843241,0.0,0.5714285714285714
405,41549,405,0.06267939930731829,0.0,0.5714285714285714
406,41598,406,0.1791113659602706,0.0,0.42857142857142855
407,41759,407,0.07327781861865515,0.0,0.7142857142857143
408,41872,408,0.10007710320958202,0.0,0.42857142857142855
409,41993,409,0.09027437791255458,0.0,0.5714285714285714
410,42138,410,0.07264172320396836,0.0,0.42857142857142855
411,42219,411,0.16559155590651795,0.0,0.7142857142857143
412,42372,412,0.04905801923780209,1.0,1.0
413,42485,413,0.08632864135510836,0.0,0.5714285714285714
414,42574,414,0.08863342874442671,0.0,0.5714285714285714
415,42655,415,0.1549123951920483,0.0,0.42857142857142855
416,42752,416,0.07079690104178249,0.0,0.7142857142857143
417,42873,417,0.12287421944807284,0.0,0.2857142857142857
418,42962,418,0.09148794800953261,0.0,0.5714285714285714
419,43059,419,0.07515829156941131,0.0,0.5714285714285714
420,43132,420,0.11424680440106183,0.0,0.7142857142857143
421,43205,421,0.12866115670196854,0.0,0.5714285714285714
422,43294,422,0.07784976108510323,0.0,0.8571428571428571
423,43375,423,0.09330159309228475,0.0,0.5714285714285714
424,43504,424,0.08549612730779699,0.0,0.5714285714285714
425,43617,425,0.13488614714204492,0.0,0.42857142857142855
426,43698,426,0.13551369494287063,0.0,0.42857142857142855
427,43795,427,0.12838464074127842,0.0,0.42857142857142855
428,43940,428,0.06091439447276773,0.0,0.7142857142857143
429,44029,429,0.08371130853759082,0.0,0.7142857142857143
430,44126,430,0.08798322067212513,0.0,0.7142857142857143
431,44263,431,0.06730310862640823,0.0,0.5714285714285714
432,44336,432,0.18658861938388632,0.0,0.2857142857142857
433,44425,433,0.0825209071434603,0.0,0.5714285714285714
434,44498,434,0.1638639555339048,0.0,0.5714285714285714
435,44563,435,0.07347436167597153,0.0,0.8571428571428571
436,44636,436,0.19405380381892126,0.0,0.14285714285714285
437,44749,437,0.12028113163009296,0.0,0.5714285714285714
438,44878,438,0.05035730310669351,1.0,1.0
439,44999,439,0.05938612627785188,0.0,0.7142857142857143
440,45080,440,0.12089886091684457,0.0,0.2857142857142857
441,45209,441,0.10854953499863768,0.0,0.5714285714285714
442,45354,442,0.046804705162083134,1.0,1.0
443,45435,443,0.14491217000951293,0.0,0.42857142857142855
444,45532,444,0.08696491628928926,0.0,0.5714285714285714
445,45613,445,0.0799612723690807,0.0,0.8571428571428571
446,45718,446,0.07151494044597853,0.0,0.7142857142857143
447,45823,447,0.07816829487079165,0.0,0.5714285714285714
448,45912,448,0.10490853296285092,0.0,0.42857142857142855
449,46025,449,0.13437052687336937,0.0,0.5714285714285714
450,46098,450,0.07922625419284386,0.0,0.7142857142857143
451,46307,451,0.05165964157190711,0.0,0.7142857142857143
452,46388,452,0.13399434503925298,0.0,0.42857142857142855
453,46461,453,0.06815412614484861,0.0,0.8571428571428571
454,46566,454,0.10379458414045792,0.0,0.42857142857142855
455,46655,455,0.11088044071640153,0.0,0.5714285714285714
456,46744,456,0.06844177979672333,0.0,0.5714285714285714
457,46833,457,0.06885719930338466,0.0,0.7142857142857143
458,46914,458,0.08349075022447505,0.0,0.5714285714285714
459,47003,459,0.08583993481834609,0.0,0.5714285714285714
460,47084,460,0.07466420809112606,0.0,0.8571428571428571
461,47189,461,0.07989295728108678,0.0,0.8571428571428571
462,47278,462,0.10172402369515691,0.0,0.7142857142857143
463,47359,463,0.09884585947642338,0.0,0.5714285714285714
464,47472,464,0.05489880198183917,0.0,0.8571428571428571
465,47561,465,0.0777974126159306,0.0,0.8571428571428571
466,47658,466,0.05202095017729031,0.0,0.8571428571428571
467,47747,467,0.10120238692039328,0.0,0.42857142857142855
468,47828,468,0.07110093728739957,0.0,0.7142857142857143
469,47941,469,0.057262130214847794,0.0,0.8571428571428571
470,48030,470,0.11421797370899597,0.0,0.7142857142857143
471,48127,471,0.07070271256159533,0.0,0.7142857142857143
472,48208,472,0.1449793267289415,0.0,0.5714285714285714
473,48281,473,0.07293260408846335,0.0,0.5714285714285714
474,48338,474,0.1644927879001573,0.0,0.42857142857142855
475,48467,475,0.04750564080558803,0.0,0.7142857142857143
476,48548,476,0.07181880335722234,0.0,0.8571428571428571
477,48669,477,0.12300820585205413,0.0,0.5714285714285714
478,48718,478,0.15342901817416227,0.0,0.7142857142857143
479,48887,479,0.06594912199348202,0.0,0.5714285714285714
